N_THREADS,n_obj,time,mean,dp,spUp,eff
0,50000,175.8233,189.47,10.8452,1.0,1.0
2,50000,171.9614,186.6015,12.0866,1.0154,0.5077
4,50000,177.1274,193.1359,12.5183,0.981,0.2453
8,50000,178.9768,194.6403,12.6342,0.9734,0.1217
0,100000,349.9356,379.1677,22.2076,1.0,1.0
2,100000,339.7103,371.6827,25.9351,1.0201,0.5101
4,100000,348.6739,384.1479,28.0364,0.987,0.2468
8,100000,351.1594,386.7099,28.3616,0.9805,0.1226
0,200000,678.2324,750.5633,52.3636,1.0,1.0
2,200000,664.9155,739.6886,55.4989,1.0147,0.5074
4,200000,689.6581,766.7241,57.8927,0.9789,0.2447
8,200000,689.4834,769.6321,60.4203,0.9752,0.1219
0,400000,1370.9867,1506.1059,97.6884,1.0,1.0
2,400000,1327.2868,1481.8248,109.4729,1.0164,0.5082
4,400000,1362.4827,1531.3768,119.8386,0.9835,0.2459
8,400000,1358.1616,1539.0218,126.2606,0.9786,0.1223
0,800000,2696.6048,3002.8952,197.2202,1.0,1.0
2,800000,2666.2312,3024.8218,207.1457,0.9928,0.4964
4,800000,2745.1166,3114.4871,215.7184,0.9642,0.241
8,800000,2765.1503,3157.2498,226.4452,0.9511,0.1189
